[2025-07-11T10:00:38.162Z] 🔧 Starting MOT Expiry Date Fix 🔧

[2025-07-11T10:00:38.166Z] Fixing quoted registrations in the database...
[2025-07-11T10:00:38.536Z] Found 10351 registrations with quotes
[2025-07-11T10:00:38.584Z] Fixed registration: "EK62 YON" -> EK62 YON
[2025-07-11T10:00:38.620Z] Fixed registration: "EU14 YTV" -> EU14 YTV
[2025-07-11T10:00:38.668Z] Fixed registration: "KM55CNA" -> KM55CNA
[2025-07-11T10:00:38.724Z] Fixed registration: "Y467AKL" -> Y467AKL
[2025-07-11T10:00:38.768Z] Fixed registration: "V966DLD" -> V966DLD
[2025-07-11T10:00:38.804Z] Fixed registration: "OY53ZXL" -> OY53ZXL
[2025-07-11T10:00:38.836Z] Fixed registration: "WAG55" -> WAG55
[2025-07-11T10:00:38.877Z] Fixed registration: "AK59VJF" -> AK59VJF
[2025-07-11T10:00:38.920Z] Fixed registration: "WU08ONP" -> WU08ONP
[2025-07-11T10:00:38.972Z] Fixed registration: "RY07YOK" -> RY07YOK
[2025-07-11T10:00:39.016Z] Fixed registration: "LM03PXW" -> LM03PXW
[2025-07-11T10:00:39.052Z] Fixed registration: "Y416GEX" -> Y416GEX
[2025-07-11T10:00:39.092Z] Fixed registration: "X621JLU" -> X621JLU
[2025-07-11T10:00:39.140Z] Fixed registration: "NA51AAY" -> NA51AAY
[2025-07-11T10:00:39.184Z] Fixed registration: "NA51AYY" -> NA51AYY
[2025-07-11T10:00:39.224Z] Fixed registration: "M17MEA" -> M17MEA
[2025-07-11T10:00:39.268Z] Fixed registration: "OE55JPF" -> OE55JPF
[2025-07-11T10:00:39.308Z] Fixed registration: "W162PBY" -> W162PBY
[2025-07-11T10:00:39.348Z] Fixed registration: "DE02HRO" -> DE02HRO
[2025-07-11T10:00:39.384Z] Fixed registration: "LN02PLX" -> LN02PLX
[2025-07-11T10:00:39.420Z] Fixed registration: "A4RRJ" -> A4RRJ
[2025-07-11T10:00:39.456Z] Fixed registration: "KF04COA" -> KF04COA
[2025-07-11T10:00:39.496Z] Fixed registration: "R499ULM" -> R499ULM
[2025-07-11T10:00:39.548Z] Fixed registration: "GF55TZK" -> GF55TZK
[2025-07-11T10:00:39.588Z] Fixed registration: "EF03EVG" -> EF03EVG
[2025-07-11T10:00:39.624Z] Fixed registration: "KP52XYF" -> KP52XYF
[2025-07-11T10:00:39.664Z] Fixed registration: "RV02ATF" -> RV02ATF
